Resumed from models/iter_050.pt
Iter  51/250 | Loss: 1.4976 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 1454 | Ep len: 29 | Time: 159s
Iter  52/250 | Loss: 1.4563 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 2942 | Ep len: 30 | Time: 266s
Iter  53/250 | Loss: 1.4102 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 4436 | Ep len: 30 | Time: 255s
Iter  54/250 | Loss: 1.3949 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 5951 | Ep len: 30 | Time: 255s
Iter  55/250 | Loss: 1.4490 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 7463 | Ep len: 30 | Time: 254s
Iter  56/250 | Loss: 1.4022 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 8946 | Ep len: 30 | Time: 254s
Iter  57/250 | Loss: 1.4439 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 10439 | Ep len: 30 | Time: 253s
Iter  58/250 | Loss: 1.4178 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 11897 | Ep len: 29 | Time: 254s
Iter  59/250 | Loss: 1.4217 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 13402 | Ep len: 30 | Time: 279s
Iter  60/250 | Loss: 1.3899 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 14893 | Ep len: 30 | Time: 260s
Iter  61/250 | Loss: 1.4370 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 16391 | Ep len: 30 | Time: 258s
Iter  62/250 | Loss: 1.4017 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 17905 | Ep len: 30 | Time: 287s
Iter  63/250 | Loss: 1.3891 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 19382 | Ep len: 30 | Time: 258s
Iter  64/250 | Loss: 1.4109 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 20874 | Ep len: 30 | Time: 255s
Iter  65/250 | Loss: 1.4212 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 22392 | Ep len: 30 | Time: 271s
Iter  66/250 | Loss: 1.4367 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 23873 | Ep len: 30 | Time: 261s
Iter  67/250 | Loss: 1.4151 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 25364 | Ep len: 30 | Time: 260s
Iter  68/250 | Loss: 1.4464 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 26883 | Ep len: 30 | Time: 264s
Iter  69/250 | Loss: 1.4295 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 28406 | Ep len: 30 | Time: 265s
Iter  70/250 | Loss: 1.4127 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 29911 | Ep len: 30 | Time: 260s
Iter  71/250 | Loss: 1.4153 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 31417 | Ep len: 30 | Time: 263s
Iter  72/250 | Loss: 1.4257 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 32892 | Ep len: 30 | Time: 271s
Iter  73/250 | Loss: 1.4479 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 34379 | Ep len: 30 | Time: 264s
Iter  74/250 | Loss: 1.3880 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 35889 | Ep len: 30 | Time: 271s
Iter  75/250 | Loss: 1.4266 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 37427 | Ep len: 31 | Time: 275s
  -> Saved checkpoint: models/iter_075.pt
Iter  76/250 | Loss: 1.4304 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 38924 | Ep len: 30 | Time: 267s
Iter  77/250 | Loss: 1.4023 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 40468 | Ep len: 31 | Time: 271s
Iter  78/250 | Loss: 1.3856 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 41985 | Ep len: 30 | Time: 271s
Iter  79/250 | Loss: 1.4408 | Avg remaining: 3.0 | Solved: 0/10 | Buffer: 43493 | Ep len: 30 | Time: 275s
Iter  80/250 | Loss: 1.4029 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 44992 | Ep len: 30 | Time: 264s
Iter  81/250 | Loss: 1.4145 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 46493 | Ep len: 30 | Time: 268s
Iter  82/250 | Loss: 1.4371 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 47990 | Ep len: 30 | Time: 266s
Iter  83/250 | Loss: 1.3730 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 49505 | Ep len: 30 | Time: 267s
Iter  84/250 | Loss: 1.4211 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 267s
Iter  85/250 | Loss: 1.4263 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 264s
Iter  86/250 | Loss: 1.4183 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 262s
Iter  87/250 | Loss: 1.4343 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 29 | Time: 257s
Iter  88/250 | Loss: 1.4206 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 265s
Iter  89/250 | Loss: 1.3999 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 261s
Iter  90/250 | Loss: 1.4218 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 262s
Iter  91/250 | Loss: 1.4128 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 257s
Iter  92/250 | Loss: 1.4066 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 263s
Iter  93/250 | Loss: 1.4513 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 261s
Iter  94/250 | Loss: 1.4181 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 261s
Iter  95/250 | Loss: 1.4080 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 266s
Iter  96/250 | Loss: 1.4088 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 259s
Iter  97/250 | Loss: 1.4104 | Avg remaining: 5.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 31 | Time: 259s
Iter  98/250 | Loss: 1.4060 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 259s
Iter  99/250 | Loss: 1.3847 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 262s
Iter 100/250 | Loss: 1.4092 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 268s
  -> Saved checkpoint: models/iter_100.pt
Iter 101/250 | Loss: 1.4118 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 284s
Iter 102/250 | Loss: 1.3959 | Avg remaining: 6.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 316s
Iter 103/250 | Loss: 1.4181 | Avg remaining: 2.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 275s
Iter 104/250 | Loss: 1.3721 | Avg remaining: 4.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 265s
Iter 105/250 | Loss: 1.3795 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 276s
Iter 106/250 | Loss: 1.3632 | Avg remaining: 7.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 265s
Iter 107/250 | Loss: 1.3896 | Avg remaining: 8.0 | Solved: 0/10 | Buffer: 50000 | Ep len: 30 | Time: 292s
